timestamp,pv_yield_kwh,consumption_kwh,feedin_kwh
2023-12-31T23:00:00Z,8.32,NA,NA
2024-01-01T23:00:00Z,1.19,NA,NA
2024-01-02T23:00:00Z,5.43,NA,NA
2024-01-03T23:00:00Z,7.93,NA,NA
2024-01-04T23:00:00Z,3.24,NA,NA
2024-01-05T23:00:00Z,1.27,NA,NA
2024-01-06T23:00:00Z,1.53,NA,NA
2024-01-07T23:00:00Z,5.41,NA,NA
2024-01-08T23:00:00Z,9.1,NA,NA
2024-01-09T23:00:00Z,8.66,NA,NA
2024-01-10T23:00:00Z,9.3,NA,NA
2024-01-11T23:00:00Z,5.16,NA,NA
2024-01-12T23:00:00Z,2.08,NA,NA
2024-01-13T23:00:00Z,3.97,NA,NA
2024-01-14T23:00:00Z,9.54,NA,NA
2024-01-15T23:00:00Z,9.53,NA,NA
2024-01-16T23:00:00Z,0.59,NA,NA
2024-01-17T23:00:00Z,0.99,NA,NA
2024-01-18T23:00:00Z,3.73,NA,NA
2024-01-19T23:00:00Z,4.68,NA,NA
2024-01-20T23:00:00Z,4.01,NA,NA
2024-01-21T23:00:00Z,9.01,NA,NA
2024-01-22T23:00:00Z,8.42,NA,NA
2024-01-23T23:00:00Z,12.24,NA,NA
2024-01-24T23:00:00Z,6.14,NA,NA
2024-01-25T23:00:00Z,12.67,NA,NA
2024-01-26T23:00:00Z,17.21,NA,NA
2024-01-27T23:00:00Z,13.84,NA,NA
2024-01-28T23:00:00Z,17.12,NA,NA
2024-01-29T23:00:00Z,6.36,6.36,NA
2024-01-30T23:00:00Z,8.86,8.86,NA
